backend,density,n_movers,window,gt_static,pred_static,tp,precision,recall,f1
#seed,12345,,,,,,,,
voxel3d,med,25,9,161,161,161,1,1,1
voxel3d,med,25,10,161,161,161,1,1,1
voxel3d,med,25,11,161,161,161,1,1,1
voxel3d,med,25,12,161,161,161,1,1,1
voxel3d,med,25,13,161,161,161,1,1,1
voxel3d,med,25,14,161,161,161,1,1,1
voxel3d,med,25,15,161,161,161,1,1,1
voxel3d,med,25,16,161,161,161,1,1,1
voxel3d,med,25,17,161,161,161,1,1,1
voxel3d,med,25,18,161,161,161,1,1,1
voxel3d,med,25,19,161,161,161,1,1,1
voxel3d,med,25,20,161,161,161,1,1,1
voxel3d,med,25,21,161,161,161,1,1,1
voxel3d,med,25,22,161,161,161,1,1,1
voxel3d,med,25,23,161,161,161,1,1,1
voxel3d,med,25,24,161,161,161,1,1,1
voxel3d,med,25,25,161,161,161,1,1,1
voxel3d,med,25,26,161,161,161,1,1,1
voxel3d,med,25,27,161,161,161,1,1,1
voxel3d,med,25,28,161,162,161,0.993827,1,0.996904
voxel3d,med,25,29,161,162,161,0.993827,1,0.996904
voxel3d,med,25,30,161,162,161,0.993827,1,0.996904
voxel3d,med,25,31,161,162,161,0.993827,1,0.996904
voxel3d,med,25,32,161,162,161,0.993827,1,0.996904
voxel3d,med,25,33,161,162,161,0.993827,1,0.996904
voxel3d,med,25,34,161,162,161,0.993827,1,0.996904
voxel3d,med,25,35,161,162,161,0.993827,1,0.996904
voxel3d,med,25,36,161,162,161,0.993827,1,0.996904
voxel3d,med,25,37,161,162,161,0.993827,1,0.996904
voxel3d,med,25,38,161,162,161,0.993827,1,0.996904
voxel3d,med,25,39,161,162,161,0.993827,1,0.996904
grid2d,high,100,0,161,0,0,0,0,0
grid2d,high,100,1,161,0,0,0,0,0
grid2d,high,100,2,161,161,161,1,1,1
grid2d,high,100,3,161,161,161,1,1,1
grid2d,high,100,4,161,161,161,1,1,1
grid2d,high,100,5,161,161,161,1,1,1
grid2d,high,100,6,161,161,161,1,1,1
grid2d,high,100,7,161,161,161,1,1,1
grid2d,high,100,8,161,161,161,1,1,1
grid2d,high,100,9,161,161,161,1,1,1
grid2d,high,100,10,161,161,161,1,1,1
grid2d,high,100,11,161,161,161,1,1,1
grid2d,high,100,12,161,161,161,1,1,1
grid2d,high,100,13,161,161,161,1,1,1
grid2d,high,100,14,161,161,161,1,1,1
grid2d,high,100,15,161,161,161,1,1,1
grid2d,high,100,16,161,161,161,1,1,1
grid2d,high,100,17,161,162,161,0.993827,1,0.996904
grid2d,high,100,18,161,162,161,0.993827,1,0.996904
grid2d,high,100,19,161,162,161,0.993827,1,0.996904
grid2d,high,100,20,161,162,161,0.993827,1,0.996904
grid2d,high,100,21,161,162,161,0.993827,1,0.996904
grid2d,high,100,22,161,162,161,0.993827,1,0.996904
grid2d,high,100,23,161,162,161,0.993827,1,0.996904
grid2d,high,100,24,161,163,161,0.98773,1,0.993827
grid2d,high,100,25,161,164,161,0.981707,1,0.990769
grid2d,high,100,26,161,164,161,0.981707,1,0.990769
grid2d,high,100,27,161,165,161,0.975758,1,0.98773
grid2d,high,100,28,161,167,161,0.964072,1,0.981707
grid2d,high,100,29,161,167,161,0.964072,1,0.981707
grid2d,high,100,30,161,168,161,0.958333,1,0.978723
grid2d,high,100,31,161,168,161,0.958333,1,0.978723
grid2d,high,100,32,161,170,161,0.947059,1,0.97281
grid2d,high,100,33,161,170,161,0.947059,1,0.97281
grid2d,high,100,34,161,170,161,0.947059,1,0.97281
grid2d,high,100,35,161,171,161,0.94152,1,0.96988
grid2d,high,100,36,161,172,161,0.936047,1,0.966967
grid2d,high,100,37,161,173,161,0.930636,1,0.964072
grid2d,high,100,38,161,173,161,0.930636,1,0.964072
grid2d,high,100,39,161,174,161,0.925287,1,0.961194
voxel3d,high,100,0,161,0,0,0,0,0
voxel3d,high,100,1,161,0,0,0,0,0
voxel3d,high,100,2,161,161,161,1,1,1
voxel3d,high,100,3,161,161,161,1,1,1
voxel3d,high,100,4,161,161,161,1,1,1
voxel3d,high,100,5,161,161,161,1,1,1
voxel3d,high,100,6,161,161,161,1,1,1
voxel3d,high,100,7,161,161,161,1,1,1
voxel3d,high,100,8,161,161,161,1,1,1
voxel3d,high,100,9,161,161,161,1,1,1
voxel3d,high,100,10,161,161,161,1,1,1
voxel3d,high,100,11,161,161,161,1,1,1
voxel3d,high,100,12,161,161,161,1,1,1
voxel3d,high,100,13,161,161,161,1,1,1
voxel3d,high,100,14,161,161,161,1,1,1
voxel3d,high,100,15,161,161,161,1,1,1
voxel3d,high,100,16,161,161,161,1,1,1
voxel3d,high,100,17,161,161,161,1,1,1
voxel3d,high,100,18,161,161,161,1,1,1
voxel3d,high,100,19,161,161,161,1,1,1
voxel3d,high,100,20,161,161,161,1,1,1
voxel3d,high,100,21,161,161,161,1,1,1
voxel3d,high,100,22,161,161,161,1,1,1
voxel3d,high,100,23,161,161,161,1,1,1
voxel3d,high,100,24,161,161,161,1,1,1
voxel3d,high,100,25,161,162,161,0.993827,1,0.996904
voxel3d,high,100,26,161,162,161,0.993827,1,0.996904
voxel3d,high,100,27,161,163,161,0.98773,1,0.993827
voxel3d,high,100,28,161,163,161,0.98773,1,0.993827
voxel3d,high,100,29,161,163,161,0.98773,1,0.993827
voxel3d,high,100,30,161,163,161,0.98773,1,0.993827
voxel3d,high,100,31,161,165,161,0.975758,1,0.98773
voxel3d,high,100,32,161,165,161,0.975758,1,0.98773
voxel3d,high,100,33,161,165,161,0.975758,1,0.98773
voxel3d,high,100,34,161,165,161,0.975758,1,0.98773
voxel3d,high,100,35,161,165,161,0.975758,1,0.98773
voxel3d,high,100,36,161,165,161,0.975758,1,0.98773
voxel3d,high,100,37,161,165,161,0.975758,1,0.98773
voxel3d,high,100,38,161,165,161,0.975758,1,0.98773
voxel3d,high,100,39,161,165,161,0.975758,1,0.98773
